"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -2.528268923,       -4.75029727,      -18.39540186,      -7.210454041
          0,           0,           1,      -2.684812212,      -2.345083928,      -3.853276083,      -6.957851032
          0,           0,           2,      -2.710404505,      -2.326544173,      -3.613110297,      -7.022612671
          0,           0,           3,      -2.746349294,      -2.349892947,      -3.559288356,      -7.077306148
          0,           0,           4,      -2.785433848,      -2.377557814,      -3.485210204,      -7.122191102
          0,           0,           5,      -2.819978543,      -2.393341858,      -3.413870459,      -7.159091486
          0,           0,           6,      -2.848618906,      -2.402647844,       -3.35250373,       -7.18984758
          0,           0,           7,      -2.871595856,      -2.409050333,      -3.299571257,      -7.215554297
          0,           0,           8,      -2.889923125,      -2.414368272,      -3.255203628,      -7.237507495
          0,           0,           9,      -2.905091758,      -2.419638313,      -3.216033146,      -7.256456209
          0,           0,          10,      -2.917890443,      -2.424538801,      -3.179497759,      -7.273190089
          0,           0,          11,      -2.928567099,      -2.429796773,      -3.147333954,      -7.287960185
          0,           0,          12,       -2.93776288,      -2.435892852,      -3.125984871,      -7.300930447
          0,           0,          13,      -2.945518887,        -2.4424144,      -3.104032063,      -7.312501451
          0,           0,          14,      -2.952868064,      -2.448946861,      -3.082125652,      -7.323122201
          0,           0,          15,      -2.960201006,      -2.455275245,      -3.062074596,      -7.333004912
          0,           0,          16,       -2.96823298,      -2.461883192,      -3.044353175,       -7.34244731
          0,           0,          17,       -2.97603321,      -2.467842049,      -3.027588379,      -7.351605471
          0,           0,          18,      -2.983557729,      -2.473234933,      -3.011905898,       -7.36049496
          0,           0,          19,      -2.991348654,      -2.478509983,      -2.996388484,      -7.369168433
          0,           0,          20,      -2.999026246,      -2.483689024,      -2.981278532,      -7.377649411
          0,           0,          21,      -3.006587561,      -2.488859545,      -2.966914834,      -7.385956863
          0,           0,          22,      -3.014071711,      -2.494199275,      -2.953252339,      -7.394077914
